class	dropped_lines	file	detail
SAFE-NEW	0	src/infra/session-cost-usage.discoverAllSessions.test.ts	-
MIXED-CLOBBER	4	src/infra/session-cost-usage.ts	?
MIXED-CLOBBER	4	src/infra/session-delivery-queue-recovery.ts	?
MIXED-CLOBBER	9	src/infra/session-delivery-queue-storage.ts	?
MIXED-CLOBBER	1	src/infra/session-delivery-queue.ts	?
SAFE-NEW	0	src/infra/session-keys.ts	-
MIXED-CLOBBER	4	src/infra/state-migrations.ts	?
GENUINE	0	src/infra/system-events.test.ts	-
MIXED-CLOBBER	5	src/infra/system-events.ts	?
GENUINE	0	src/llm/utils/oauth/anthropic.test.ts	-
SAFE-NEW	0	src/logging/diagnostic-continuation-queues.ts	-
GENUINE	0	src/logging/diagnostic-stability.ts	-
MIXED-CLOBBER	7	src/logging/diagnostic.test.ts	?
MIXED-CLOBBER	9	src/logging/diagnostic.ts	?
MIXED-CLOBBER	1	src/plugin-sdk/channel-runtime.ts	?
GENUINE	0	src/plugin-sdk/diagnostic-runtime.ts	-
MIXED-CLOBBER	1	src/plugin-sdk/infra-runtime.ts	?
GENUINE	0	src/plugin-sdk/provider-catalog-live-runtime.test.ts	-
MIXED-CLOBBER	5	src/plugin-sdk/provider-catalog-live-runtime.ts	?
MIXED-CLOBBER	5	src/plugin-sdk/system-event-runtime.ts	?
MIXED-CLOBBER	2	src/plugins/openai-compatible-embedding-provider.test.ts	?
MIXED-CLOBBER	1	src/plugins/runtime/runtime-system.ts	?
GENUINE	0	src/plugins/session-entry-slot-keys.ts	-
GENUINE	0	src/plugins/setup-registry.test.ts	-
MIXED-CLOBBER	3	src/plugins/wired-hooks-compaction.test.ts	?
GENUINE	0	src/process/command-queue.test.ts	-
GENUINE	0	src/process/command-queue.ts	-
GENUINE	0	src/skills/runtime/tool-dispatch.ts	-
GENUINE	0	src/state/openclaw-state-db.generated.d.ts	-
GENUINE	0	src/state/openclaw-state-db.ts	-
GENUINE	0	src/state/openclaw-state-schema.generated.ts	-
GENUINE	0	src/state/openclaw-state-schema.sql	-
GENUINE	0	src/status/status-message.ts	-
GENUINE	0	src/status/status-text.ts	-
